#model_version:v2026.06.15,score_date:2026-08-25T12:03:58Z
cve,epss,percentile,change_type
CVE-1999-1318,0.00334,0.25796,updated
CVE-1999-1320,0.00317,0.23955,updated
CVE-1999-1321,0.01994,0.79153,updated
CVE-1999-1322,0.01503,0.72353,updated
CVE-1999-1323,0.00407,0.33551,updated
CVE-1999-1325,0.00334,0.25788,updated
CVE-1999-1328,0.00401,0.32956,updated
CVE-1999-1332,0.00402,0.33137,updated
CVE-1999-1333,0.03314,0.87635,updated
CVE-1999-1334,0.01715,0.75652,updated
CVE-1999-1335,0.01862,0.77634,updated
CVE-1999-1336,0.01628,0.74336,updated
CVE-1999-1338,0.00985,0.59729,updated
CVE-1999-1339,0.02611,0.84235,updated
CVE-1999-1341,0.00407,0.33592,updated
CVE-1999-1342,0.01283,0.67892,updated
CVE-1999-1343,0.01283,0.67892,updated
CVE-1999-1344,0.01154,0.64578,updated
CVE-1999-1345,0.00315,0.23697,updated
CVE-1999-1346,0.01489,0.72113,updated
CVE-1999-1347,0.00451,0.37327,updated
CVE-1999-1349,0.01283,0.67892,updated
CVE-1999-1353,0.00315,0.23696,updated
CVE-1999-1354,0.0033,0.25322,updated
CVE-1999-1355,0.0151,0.72486,updated
CVE-1999-1356,0.00354,0.28123,updated
CVE-1999-1357,0.01996,0.79181,updated
CVE-1999-1362,0.01387,0.7017,updated
CVE-1999-1365,0.02818,0.85476,updated
CVE-1999-1369,0.00875,0.56259,updated
CVE-1999-1370,0.01344,0.69246,updated
CVE-1999-1372,0.00324,0.2464,updated
CVE-1999-1377,0.02083,0.80107,updated
CVE-1999-1378,0.01335,0.69032,updated
CVE-1999-1379,0.02609,0.84219,updated
CVE-1999-1381,0.02616,0.84262,updated
CVE-1999-1383,0.004,0.32932,updated
CVE-1999-1384,0.0162,0.74224,updated
CVE-1999-1385,0.00396,0.32433,updated
CVE-1999-1386,0.00463,0.38149,updated
CVE-1999-1387,0.20828,0.97358,updated
CVE-1999-1400,0.0037,0.29682,updated
CVE-1999-1401,0.00354,0.28123,updated
CVE-1999-1403,0.00334,0.25787,updated
CVE-1999-1404,0.01268,0.67556,updated
CVE-1999-1406,0.00376,0.30398,updated
CVE-1999-1408,0.01009,0.60461,updated
CVE-1999-1412,0.35342,0.98323,updated
CVE-1999-1413,0.00724,0.51318,updated
CVE-1999-1416,0.01268,0.67556,updated
CVE-1999-1417,0.0189,0.77981,updated
CVE-1999-1420,0.02925,0.86004,updated
CVE-1999-1421,0.01584,0.73679,updated
CVE-1999-1423,0.00921,0.57626,updated
CVE-1999-1424,0.0028,0.19941,updated
CVE-1999-1425,0.0028,0.19941,updated
CVE-1999-1426,0.0028,0.19941,updated
CVE-1999-1429,0.00297,0.21701,updated
CVE-1999-1430,0.00323,0.24601,updated
CVE-1999-1435,0.00361,0.28781,updated
CVE-1999-1439,0.00345,0.27035,updated
CVE-1999-1440,0.00936,0.58131,updated
CVE-1999-1444,0.01118,0.63628,updated
CVE-1999-1445,0.01335,0.69031,updated
CVE-1999-1447,0.13451,0.96131,updated
CVE-1999-1448,0.00794,0.53646,updated
CVE-1999-1450,0.01584,0.73679,updated
CVE-1999-1451,0.17728,0.96924,updated
