#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-1999-0608,0.01275,0.68645
CVE-1999-0609,0.01109,0.64411
CVE-1999-0610,0.01109,0.6441
CVE-1999-0611,0.01941,0.79254
CVE-1999-0612,0.67963,0.993
CVE-1999-0613,0.01341,0.70106
CVE-1999-0618,0.01908,0.78865
CVE-1999-0624,0.01341,0.70105
CVE-1999-0625,0.01307,0.69323
CVE-1999-0626,0.01376,0.70845
CVE-1999-0627,0.06835,0.93783
CVE-1999-0628,0.01481,0.728
CVE-1999-0629,0.0132,0.69615
CVE-1999-0630,0.01891,0.78669
CVE-1999-0632,0.00999,0.6115
CVE-1999-0635,0.01327,0.69753
CVE-1999-0636,0.01905,0.7883
CVE-1999-0637,0.01355,0.70408
CVE-1999-0638,0.01307,0.69324
CVE-1999-0639,0.01341,0.70105
CVE-1999-0640,0.01908,0.78864
CVE-1999-0641,0.01318,0.69579
CVE-1999-0650,0.01933,0.79156
CVE-1999-0651,0.11902,0.95959
CVE-1999-0653,0.01856,0.78254
CVE-1999-0654,0.01856,0.78254
CVE-1999-0656,0.01551,0.74008
CVE-1999-0657,0.01393,0.71169
CVE-1999-0661,0.54244,0.98973
CVE-1999-0662,0.01908,0.78864
CVE-1999-0663,0.01941,0.79254
CVE-1999-0664,0.01941,0.79254
CVE-1999-0665,0.01941,0.79253
CVE-1999-0667,0.14975,0.96593
CVE-1999-0668,0.22551,0.97633
CVE-1999-0669,0.0912,0.9513
CVE-1999-0670,0.08546,0.94865
CVE-1999-0671,0.01748,0.76825
CVE-1999-0672,0.01592,0.74619
CVE-1999-0673,0.01592,0.74619
CVE-1999-0674,0.00833,0.55775
CVE-1999-0675,0.01352,0.70332
CVE-1999-0676,0.00307,0.20822
CVE-1999-0677,0.01144,0.65295
CVE-1999-0678,0.31408,0.98221
CVE-1999-0679,0.03265,0.8789
CVE-1999-0680,0.05682,0.92706
CVE-1999-0681,0.20465,0.97418
CVE-1999-0682,0.26099,0.97919
CVE-1999-0683,0.02359,0.83021
CVE-1999-0684,0.02513,0.84103
CVE-1999-0685,0.01592,0.74619
CVE-1999-0686,0.01791,0.77411
CVE-1999-0687,0.02219,0.81913
CVE-1999-0688,0.00543,0.43141
CVE-1999-0689,0.00834,0.55813
CVE-1999-0690,0.00542,0.43087
CVE-1999-0691,0.00836,0.55875
CVE-1999-0692,0.02377,0.83138
CVE-1999-0693,0.0103,0.62148
CVE-1999-0694,0.00291,0.19275
CVE-1999-0695,0.01096,0.64112
CVE-1999-0696,0.12158,0.96011
CVE-1999-0697,0.00345,0.25216
CVE-1999-0698,0.01908,0.78864
CVE-1999-0699,0.01144,0.65295
CVE-1999-0700,0.02889,0.86311
CVE-1999-0701,0.01557,0.74096
CVE-1999-0702,0.24429,0.97795
CVE-1999-0703,0.00279,0.18111
CVE-1999-0704,0.0446,0.91067
CVE-1999-0705,0.04783,0.91585
CVE-1999-0706,0.01994,0.79796
CVE-1999-0707,0.02144,0.81275
CVE-1999-0708,0.00811,0.5507
CVE-1999-0710,0.116,0.9589
CVE-1999-0711,0.01203,0.66893
CVE-1999-0712,0.00402,0.31675
CVE-1999-0713,0.00345,0.25217
CVE-1999-0714,0.00402,0.31676
CVE-1999-0715,0.03134,0.87346
CVE-1999-0716,0.03119,0.87286
CVE-1999-0717,0.05843,0.92898
CVE-1999-0718,0.00849,0.56311
CVE-1999-0719,0.0042,0.33607
CVE-1999-0720,0.0075,0.52943
CVE-1999-0721,0.08457,0.94813
CVE-1999-0722,0.02234,0.82033
CVE-1999-0723,0.07298,0.94142
CVE-1999-0724,0.003,0.20197
CVE-1999-0725,0.24852,0.9783
CVE-1999-0726,0.08457,0.94813
CVE-1999-0727,0.00994,0.60999
CVE-1999-0728,0.0582,0.92872
CVE-1999-0729,0.01682,0.75936
CVE-1999-0730,0.04472,0.91083
CVE-1999-0731,0.00315,0.21684
CVE-1999-0732,0.00346,0.25419
CVE-1999-0733,0.01081,0.63649
CVE-1999-0734,0.01406,0.71418
CVE-1999-0735,0.00718,0.51805
CVE-1999-0736,0.44845,0.98733
CVE-1999-0737,0.28085,0.98043
CVE-1999-0738,0.28742,0.98078
CVE-1999-0739,0.28742,0.98079
CVE-1999-0740,0.0205,0.80393
